Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# AAs,MW [kDa],calc. pI
Q8BUN5,Mothers against decapentaplegic homolog 3 OS=Mus musculus GN=Smad3 PE=1 SV=2 - [SMAD3_MOUSE],33.18%,8,3,12,66,425,48,7.15
P62315,Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus GN=Snrpd1 PE=2 SV=1 - [SMD1_MOUSE],54.62%,1,4,4,69,119,13.3,11.56
P62317,Small nuclear ribonucleoprotein Sm D2 OS=Mus musculus GN=Snrpd2 PE=2 SV=1 - [SMD2_MOUSE],70.34%,2,13,13,188,118,13.5,9.91
P62320,Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus GN=Snrpd3 PE=1 SV=1 - [SMD3_MOUSE],45.24%,1,7,7,79,126,13.9,10.32
Q3UKJ7,WD40 repeat-containing protein SMU1 OS=Mus musculus GN=Smu1 PE=2 SV=2 - [SMU1_MOUSE],55.75%,1,26,26,155,513,57.5,7.18
Q9Z0H3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Mus musculus GN=Smarcb1 PE=1 SV=1 - [SNF5_MOUSE],63.38%,3,17,17,61,385,44.1,6.23
Q78ZM0,Sorting nexin 3 OS=Mus musculus GN=Snx3 PE=1 SV=1 - [Q78ZM0_MOUSE],74.69%,4,11,13,151,162,18.8,8.66
Q9D287,Pre-mRNA-splicing factor SPF27 OS=Mus musculus GN=Bcas2 PE=2 SV=1 - [SPF27_MOUSE],65.78%,2,10,10,64,225,26.1,5.66
Q6PDM2,Serine/arginine-rich splicing factor 1 OS=Mus musculus GN=Srsf1 PE=1 SV=3 - [SRSF1_MOUSE],64.52%,4,26,27,408,248,27.7,10.36
Q62093,Serine/arginine-rich splicing factor 2 OS=Mus musculus GN=Srsf2 PE=1 SV=4 - [SRSF2_MOUSE],33.03%,1,8,9,110,221,25.5,11.85
P84104,Serine/arginine-rich splicing factor 3 OS=Mus musculus GN=Srsf3 PE=1 SV=1 - [SRSF3_MOUSE],57.32%,2,15,16,170,164,19.3,11.65
P55821,Stathmin-2 OS=Mus musculus GN=Stmn2 PE=1 SV=1 - [STMN2_MOUSE],22.35%,6,1,8,58,179,20.8,8.32
O08599,Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2 - [STXB1_MOUSE],71.21%,2,45,46,285,594,67.5,6.96
P63166,Small ubiquitin-related modifier 1 OS=Mus musculus GN=Sumo1 PE=1 SV=1 - [SUMO1_MOUSE],42.57%,2,7,7,39,101,11.5,5.52
P05213,Tubulin alpha-1B chain OS=Mus musculus GN=Tuba1b PE=1 SV=2 - [TBA1B_MOUSE],86.25%,1,2,43,3406,451,50.1,5.06
P05214,Tubulin alpha-3 chain OS=Mus musculus GN=Tuba3a PE=1 SV=1 - [TBA3_MOUSE],67.56%,1,2,33,2593,450,49.9,5.1
P68368,Tubulin alpha-4A chain OS=Mus musculus GN=Tuba4a PE=1 SV=1 - [TBA4A_MOUSE],66.07%,5,3,33,2759,448,49.9,5.06
Q7TMM9,Tubulin beta-2A chain OS=Mus musculus GN=Tubb2a PE=1 SV=1 - [TBB2A_MOUSE],86.74%,1,3,42,4970,445,49.9,4.89
Q9CWF2,Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1 - [TBB2B_MOUSE],86.74%,1,2,42,4975,445,49.9,4.89
P68372,Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1 - [TBB4B_MOUSE],86.74%,1,4,42,4264,445,49.8,4.89
P99024,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1 - [TBB5_MOUSE],86.94%,1,6,41,4308,444,49.6,4.89
P62340,TATA box-binding protein-like protein 1 OS=Mus musculus GN=Tbpl1 PE=2 SV=1 - [TBPL1_MOUSE],25.27%,1,4,4,7,186,20.9,9.54
Q01853,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4 - [TERA_MOUSE],84.12%,7,77,78,1062,806,89.3,5.26
P62073,Mitochondrial import inner membrane translocase subunit Tim10 OS=Mus musculus GN=Timm10 PE=1 SV=1 - [TIM10_MOUSE],47.78%,1,5,5,15,90,10.3,6.29
Q8K003,Translation machinery-associated protein 7 OS=Mus musculus GN=Tma7 PE=2 SV=1 - [TMA7_MOUSE],51.56%,4,4,5,29,64,7.1,9.99
Q63739,Protein tyrosine phosphatase type IVA 1 OS=Mus musculus GN=Ptp4a1 PE=1 SV=1 - [TP4A1_MOUSE],50.29%,1,4,8,41,173,19.8,8.97
O70274,Protein tyrosine phosphatase type IVA 2 OS=Mus musculus GN=Ptp4a2 PE=1 SV=1 - [TP4A2_MOUSE],34.73%,1,2,6,39,167,19.1,8.37
Q6ZWY8,Thymosin beta-10 OS=Mus musculus GN=Tmsb10 PE=2 SV=3 - [TYB10_MOUSE],52.27%,3,7,10,146,44,5,5.36
P61080,Ubiquitin-conjugating enzyme E2 D1 OS=Mus musculus GN=Ube2d1 PE=2 SV=1 - [UB2D1_MOUSE],19.73%,2,1,2,24,147,16.6,7.42
P62838,Ubiquitin-conjugating enzyme E2 D2 OS=Mus musculus GN=Ube2d2 PE=1 SV=1 - [UB2D2_MOUSE],46.94%,2,2,6,58,147,16.7,7.83
P61079,Ubiquitin-conjugating enzyme E2 D3 OS=Mus musculus GN=Ube2d3 PE=1 SV=1 - [UB2D3_MOUSE],46.94%,2,2,6,64,147,16.7,7.8
P62254,Ubiquitin-conjugating enzyme E2 G1 OS=Mus musculus GN=Ube2g1 PE=2 SV=3 - [UB2G1_MOUSE],23.53%,1,3,3,8,170,19.5,5.3
P60605,Ubiquitin-conjugating enzyme E2 G2 OS=Mus musculus GN=Ube2g2 PE=1 SV=1 - [UB2G2_MOUSE],46.06%,4,5,5,7,165,18.6,4.7
P68037,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus GN=Ube2l3 PE=2 SV=1 - [UB2L3_MOUSE],83.12%,2,16,18,213,154,17.9,8.51
Q6ZWZ2,Ubiquitin-conjugating enzyme E2 R2 OS=Mus musculus GN=Ube2r2 PE=2 SV=1 - [UB2R2_MOUSE],24.79%,3,4,4,15,238,27.1,4.42
P61082,NEDD8-conjugating enzyme Ubc12 OS=Mus musculus GN=Ube2m PE=2 SV=1 - [UBC12_MOUSE],51.37%,5,11,11,100,183,20.9,7.69
P63280,SUMO-conjugating enzyme UBC9 OS=Mus musculus GN=Ube2i PE=1 SV=1 - [UBC9_MOUSE],60.13%,4,10,10,54,158,18,8.66
Q9Z255,Ubiquitin-conjugating enzyme E2 A OS=Mus musculus GN=Ube2a PE=2 SV=1 - [UBE2A_MOUSE],19.74%,1,1,2,5,152,17.3,5.15
P63147,Ubiquitin-conjugating enzyme E2 B OS=Mus musculus GN=Ube2b PE=1 SV=1 - [UBE2B_MOUSE],32.24%,1,2,3,4,152,17.3,5.01
P61087,Ubiquitin-conjugating enzyme E2 K OS=Mus musculus GN=Ube2k PE=1 SV=3 - [UBE2K_MOUSE],75.50%,3,17,18,101,200,22.4,5.44
P61089,Ubiquitin-conjugating enzyme E2 N OS=Mus musculus GN=Ube2n PE=1 SV=1 - [UBE2N_MOUSE],69.74%,3,15,15,211,152,17.1,6.57
P61961,Ubiquitin-fold modifier 1 OS=Mus musculus GN=Ufm1 PE=1 SV=1 - [UFM1_MOUSE],80.00%,3,6,6,58,85,9.1,9.31
P61965,WD repeat-containing protein 5 OS=Mus musculus GN=Wdr5 PE=1 SV=1 - [WDR5_MOUSE],77.84%,2,19,19,80,334,36.6,8.27
Q8BFQ4,WD repeat-containing protein 82 OS=Mus musculus GN=Wdr82 PE=1 SV=1 - [WDR82_MOUSE],59.11%,2,17,17,75,313,35.1,7.69
P62700,Protein yippee-like 5 OS=Mus musculus GN=Ypel5 PE=2 SV=1 - [YPEL5_MOUSE],46.28%,1,5,5,16,121,13.8,7.31
Q9CQV8,14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3 - [1433B_MOUSE],89.84%,3,17,31,711,246,28.1,4.83
P68510,14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2 - [1433F_MOUSE],79.67%,1,23,33,634,246,28.2,4.89
P68254,14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1 - [1433T_MOUSE],81.63%,4,24,33,723,245,27.8,4.78
P63101,14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1 - [1433Z_MOUSE],91.02%,3,21,37,1037,245,27.8,4.79
Q6PD03,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform OS=Mus musculus GN=Ppp2r5a PE=2 SV=1 - [2A5A_MOUSE],40.95%,1,22,22,88,486,56.3,7.03
Q61151,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform OS=Mus musculus GN=Ppp2r5e PE=2 SV=3 - [2A5E_MOUSE],27.84%,1,12,14,64,467,54.7,6.95
Q60996,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Mus musculus GN=Ppp2r5c PE=1 SV=2 - [2A5G_MOUSE],38.74%,1,10,17,73,524,60.8,6.64
Q76MZ3,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus GN=Ppp2r1a PE=1 SV=3 - [2AAA_MOUSE],71.14%,3,27,47,580,589,65.3,5.11
Q7TNP2,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Mus musculus GN=Ppp2r1b PE=1 SV=2 - [2AAB_MOUSE],37.44%,9,8,20,139,601,65.9,5.1
Q925E7,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform OS=Mus musculus GN=Ppp2r2d PE=2 SV=1 - [2ABD_MOUSE],26.27%,5,6,11,26,453,51.9,6.49
Q99LH9,SH3 domain-binding protein 5-like OS=Mus musculus GN=Sh3bp5l PE=2 SV=1 - [3BP5L_MOUSE],48.21%,1,16,16,49,392,43.3,6
Q99L13,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1 - [3HIDH_MOUSE]",51.94%,1,19,19,98,335,35.4,8.13
Q60876,Eukaryotic translation initiation factor 4E-binding protein 1 OS=Mus musculus GN=Eif4ebp1 PE=1 SV=3 - [4EBP1_MOUSE],20.51%,2,2,3,6,117,12.3,5.15
P70445,Eukaryotic translation initiation factor 4E-binding protein 2 OS=Mus musculus GN=Eif4ebp2 PE=2 SV=1 - [4EBP2_MOUSE],78.33%,2,4,5,10,120,12.9,6.52
P10852,4F2 cell-surface antigen heavy chain OS=Mus musculus GN=Slc3a2 PE=1 SV=1 - [4F2_MOUSE],22.62%,1,11,11,21,526,58.3,5.91
Q9D020,Cytosolic 5'-nucleotidase 3A OS=Mus musculus GN=Nt5c3a PE=1 SV=4 - [5NT3A_MOUSE],60.42%,1,22,22,99,331,37.2,6.65
Q3UFY7,7-methylguanosine phosphate-specific 5'-nucleotidase OS=Mus musculus GN=Nt5c3b PE=2 SV=3 - [5NT3B_MOUSE],47.33%,1,11,11,28,300,34.4,6.24
Q3V1L4,Cytosolic purine 5'-nucleotidase OS=Mus musculus GN=Nt5c2 PE=1 SV=2 - [5NTC_MOUSE],44.29%,3,20,20,59,560,64.8,6.21
P56379,6.8 kDa mitochondrial proteolipid OS=Mus musculus GN=Mp68 PE=2 SV=1 - [68MP_MOUSE],34.48%,1,2,2,5,58,6.7,9.99
Q9DCD0,"6-phosphogluconate dehydrogenase, decarboxylating OS=Mus musculus GN=Pgd PE=1 SV=3 - [6PGD_MOUSE]",78.26%,3,40,40,411,483,53.2,7.23
Q9CQ60,6-phosphogluconolactonase OS=Mus musculus GN=Pgls PE=2 SV=1 - [6PGL_MOUSE],61.48%,4,13,14,200,257,27.2,5.85
Q8C0J2,Autophagy-related protein 16-1 OS=Mus musculus GN=Atg16l1 PE=1 SV=1 - [A16L1_MOUSE],24.05%,3,13,13,21,607,68.1,6.38
P12023,Amyloid beta A4 protein OS=Mus musculus GN=App PE=1 SV=3 - [A4_MOUSE],40.39%,1,27,28,120,770,86.7,4.79
P58742,Aladin OS=Mus musculus GN=Aaas PE=1 SV=1 - [AAAS_MOUSE],29.12%,1,9,9,21,546,59.4,6.87
Q9D2R0,Acetoacetyl-CoA synthetase OS=Mus musculus GN=Aacs PE=2 SV=1 - [AACS_MOUSE],11.31%,2,8,9,16,672,75.2,6.71
Q9WVM8,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial OS=Mus musculus GN=Aadat PE=1 SV=1 - [AADAT_MOUSE]",5.65%,1,1,2,4,425,47.6,8.25
Q3UHJ0,AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2 - [AAK1_MOUSE],46.19%,8,34,38,257,959,103.3,6.7
Q9R078,5'-AMP-activated protein kinase subunit beta-1 OS=Mus musculus GN=Prkab1 PE=1 SV=2 - [AAKB1_MOUSE],41.48%,2,7,8,39,270,30.3,6.23
Q6PAM0,5'-AMP-activated protein kinase subunit beta-2 OS=Mus musculus GN=Prkab2 PE=1 SV=1 - [AAKB2_MOUSE],25.83%,2,3,4,10,271,30.2,6.46
O54950,5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus GN=Prkag1 PE=1 SV=2 - [AAKG1_MOUSE],52.12%,6,18,18,79,330,37.5,7.14
Q5EG47,5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Mus musculus GN=Prkaa1 PE=1 SV=2 - [AAPK1_MOUSE],47.76%,1,20,25,103,559,63.9,8.12
Q8BRK8,5'-AMP-activated protein kinase catalytic subunit alpha-2 OS=Mus musculus GN=Prkaa2 PE=1 SV=3 - [AAPK2_MOUSE],36.96%,1,13,18,57,552,62,7.87
Q9D2V5,Protein AAR2 homolog OS=Mus musculus GN=Aar2 PE=2 SV=3 - [AAR2_MOUSE],15.10%,2,4,4,5,384,43.4,5.48
Q3THG9,Alanyl-tRNA editing protein Aarsd1 OS=Mus musculus GN=Aarsd1 PE=1 SV=2 - [AASD1_MOUSE],46.60%,3,13,13,72,412,44.9,6.42
P05201,"Aspartate aminotransferase, cytoplasmic OS=Mus musculus GN=Got1 PE=1 SV=3 - [AATC_MOUSE]",67.07%,2,28,28,259,413,46.2,7.14
P05202,"Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1 - [AATM_MOUSE]",65.58%,1,30,30,229,430,47.4,9
Q8K448,ATP-binding cassette sub-family A member 5 OS=Mus musculus GN=Abca5 PE=1 SV=2 - [ABCA5_MOUSE],3.96%,3,4,7,9,1642,185.8,7.2
Q8K441,ATP-binding cassette sub-family A member 6 OS=Mus musculus GN=Abca6 PE=2 SV=2 - [ABCA6_MOUSE],2.34%,1,1,5,28,1624,183.2,6.93
Q91V24,ATP-binding cassette sub-family A member 7 OS=Mus musculus GN=Abca7 PE=1 SV=1 - [ABCA7_MOUSE],0.65%,2,1,2,4,2159,236.7,7.28
Q8K449,ATP-binding cassette sub-family A member 9 OS=Mus musculus GN=Abca9 PE=2 SV=2 - [ABCA9_MOUSE],32.90%,2,45,50,386,1623,183,6.93
Q61102,"ATP-binding cassette sub-family B member 7, mitochondrial OS=Mus musculus GN=Abcb7 PE=1 SV=3 - [ABCB7_MOUSE]",31.12%,1,21,21,57,752,82.5,9.32
P55096,ATP-binding cassette sub-family D member 3 OS=Mus musculus GN=Abcd3 PE=1 SV=2 - [ABCD3_MOUSE],23.67%,1,10,12,29,659,75.4,9.26
Q6P542,ATP-binding cassette sub-family F member 1 OS=Mus musculus GN=Abcf1 PE=1 SV=1 - [ABCF1_MOUSE],49.82%,1,32,33,122,837,94.9,6.51
Q99LE6,ATP-binding cassette sub-family F member 2 OS=Mus musculus GN=Abcf2 PE=2 SV=1 - [ABCF2_MOUSE],50.48%,1,37,37,171,628,71.7,7.05
Q8K268,ATP-binding cassette sub-family F member 3 OS=Mus musculus GN=Abcf3 PE=1 SV=1 - [ABCF3_MOUSE],42.31%,1,27,27,61,709,79.8,6.16
Q99LR1,Monoacylglycerol lipase ABHD12 OS=Mus musculus GN=Abhd12 PE=1 SV=2 - [ABD12_MOUSE],25.13%,3,8,8,26,398,45.2,8.72
Q8R2Y0,Monoacylglycerol lipase ABHD6 OS=Mus musculus GN=Abhd6 PE=2 SV=1 - [ABHD6_MOUSE],2.68%,1,1,1,1,336,38.2,8.47
Q8K4F5,Alpha/beta hydrolase domain-containing protein 11 OS=Mus musculus GN=Abhd11 PE=1 SV=1 - [ABHDB_MOUSE],19.54%,2,5,5,7,307,33.5,9.61
Q9Z1Q2,Abhydrolase domain-containing protein 16A OS=Mus musculus GN=Abhd16a PE=1 SV=3 - [ABHGA_MOUSE],33.33%,2,16,16,55,558,63,8.25
P62484,Abl interactor 2 OS=Mus musculus GN=Abi2 PE=2 SV=1 - [ABI2_MOUSE],19.96%,10,3,9,29,446,49.4,6.01
Q69ZX8,Actin-binding LIM protein 3 OS=Mus musculus GN=Ablim3 PE=1 SV=2 - [ABLM3_MOUSE],41.94%,14,27,28,137,682,77.6,8.54
Q7TQI7,Ankyrin repeat and BTB/POZ domain-containing protein 2 OS=Mus musculus GN=Abtb2 PE=2 SV=1 - [ABTB2_MOUSE],19.24%,1,13,15,31,1024,113.4,6.28
Q5SWU9,Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca PE=1 SV=1 - [ACACA_MOUSE],9.89%,5,19,19,30,2345,265.1,6.39
Q8JZN5,"Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Mus musculus GN=Acad9 PE=1 SV=2 - [ACAD9_MOUSE]",55.52%,3,28,28,113,625,68.7,7.46
P51174,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2 - [ACADL_MOUSE]",48.84%,2,23,23,161,430,47.9,8.31
P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadm PE=1 SV=1 - [ACADM_MOUSE]",66.03%,3,30,30,222,421,46.5,8.37
Q07417,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acads PE=1 SV=2 - [ACADS_MOUSE]",67.23%,2,27,27,157,412,44.9,8.47
P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3 - [ACADV_MOUSE]",68.75%,2,41,41,272,656,70.8,8.75
Q6ZQK5,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus GN=Acap2 PE=1 SV=2 - [ACAP2_MOUSE]",32.86%,3,22,22,50,770,87.2,6.68
Q99J27,Acetyl-coenzyme A transporter 1 OS=Mus musculus GN=Slc33a1 PE=1 SV=1 - [ACATN_MOUSE],20.55%,1,10,10,23,550,61,8.16
P31786,Acyl-CoA-binding protein OS=Mus musculus GN=Dbi PE=1 SV=2 - [ACBP_MOUSE],68.97%,4,9,9,104,87,10,8.82
Q8K370,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus GN=Acad10 PE=1 SV=1 - [ACD10_MOUSE],14.13%,2,5,12,19,1069,118.9,8.24
Q80XL6,Acyl-CoA dehydrogenase family member 11 OS=Mus musculus GN=Acad11 PE=1 SV=2 - [ACD11_MOUSE],10.53%,2,8,8,12,779,87.3,8.43
Q9DBL1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadsb PE=1 SV=1 - [ACDSB_MOUSE]",52.08%,2,22,22,123,432,47.8,7.87
Q2MKA5,Neuronal acetylcholine receptor subunit alpha-5 OS=Mus musculus GN=Chrna5 PE=2 SV=1 - [ACHA5_MOUSE],1.93%,1,1,1,1,467,53.4,7.65
Q9JIX8,Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus GN=Acin1 PE=1 SV=3 - [ACINU_MOUSE],49.63%,7,43,58,253,1338,150.6,5.91
Q9Z2N8,Actin-like protein 6A OS=Mus musculus GN=Actl6a PE=1 SV=2 - [ACL6A_MOUSE],54.31%,5,21,21,107,429,47.4,5.6
Q91V92,ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1 - [ACLY_MOUSE],60.77%,1,1,63,452,1091,119.7,7.44
Q9CQR4,Acyl-coenzyme A thioesterase 13 OS=Mus musculus GN=Acot13 PE=1 SV=1 - [ACO13_MOUSE],53.57%,1,8,8,33,140,15.2,8.82
P28271,Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3 - [ACOC_MOUSE],60.40%,1,47,48,391,889,98.1,7.5
P13516,Acyl-CoA desaturase 1 OS=Mus musculus GN=Scd1 PE=1 SV=2 - [ACOD1_MOUSE],8.73%,4,4,4,8,355,41,9.07
Q99KI0,"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1 - [ACON_MOUSE]",64.36%,1,59,59,718,780,85.4,7.93
O55137,Acyl-coenzyme A thioesterase 1 OS=Mus musculus GN=Acot1 PE=1 SV=1 - [ACOT1_MOUSE],39.14%,4,3,15,163,419,46.1,6.58
Q9QYR9,"Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus GN=Acot2 PE=1 SV=2 - [ACOT2_MOUSE]",44.59%,1,8,17,197,453,49.6,7.36
Q9QYR7,Acyl-coenzyme A thioesterase 3 OS=Mus musculus GN=Acot3 PE=2 SV=1 - [ACOT3_MOUSE],16.44%,3,1,6,39,432,47.5,7.46
P58137,Acyl-coenzyme A thioesterase 8 OS=Mus musculus GN=Acot8 PE=1 SV=1 - [ACOT8_MOUSE],17.50%,2,4,4,10,320,35.8,7.64
Q9R0X4,"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus GN=Acot9 PE=1 SV=1 - [ACOT9_MOUSE]",60.14%,2,27,27,145,439,50.5,8.59
Q9R0H0,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=5 - [ACOX1_MOUSE],45.39%,1,4,24,51,661,74.6,8.48
Q99NB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus GN=Acss1 PE=1 SV=1 - [ACS2L_MOUSE]",33.58%,1,19,19,43,682,74.6,6.98
Q9QXG4,"Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus GN=Acss2 PE=1 SV=2 - [ACSA_MOUSE]",13.55%,5,9,9,23,701,78.8,6.64
Q8VCW8,"Acyl-CoA synthetase family member 2, mitochondrial OS=Mus musculus GN=Acsf2 PE=1 SV=1 - [ACSF2_MOUSE]",40.16%,1,22,22,88,615,67.9,8.18
Q3URE1,"Acyl-CoA synthetase family member 3, mitochondrial OS=Mus musculus GN=Acsf3 PE=2 SV=2 - [ACSF3_MOUSE]",24.01%,1,9,9,17,583,65,8.02
Q9CZW4,Long-chain-fatty-acid--CoA ligase 3 OS=Mus musculus GN=Acsl3 PE=1 SV=2 - [ACSL3_MOUSE],7.64%,3,2,5,17,720,80.4,8.54
Q9QUJ7,Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus GN=Acsl4 PE=2 SV=2 - [ACSL4_MOUSE],52.46%,2,31,35,172,711,79,8.28
Q8JZR0,Long-chain-fatty-acid--CoA ligase 5 OS=Mus musculus GN=Acsl5 PE=1 SV=1 - [ACSL5_MOUSE],24.16%,1,12,13,32,683,76.2,7.09
Q8K0L3,"Acyl-coenzyme A synthetase ACSM2, mitochondrial OS=Mus musculus GN=Acsm2 PE=2 SV=1 - [ACSM2_MOUSE]",49.91%,4,21,22,102,575,64.2,8.31
Q8BGA8,"Acyl-coenzyme A synthetase ACSM5, mitochondrial OS=Mus musculus GN=Acsm5 PE=1 SV=1 - [ACSM5_MOUSE]",2.60%,1,1,1,1,578,64.3,7.72
Q8BFZ3,Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1 - [ACTBL_MOUSE],43.35%,2,3,19,6094,376,42,5.49
Q7TPR4,Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1 - [ACTN1_MOUSE],95.07%,2,3,109,3465,892,103,5.38
Q9JI91,Alpha-actinin-2 OS=Mus musculus GN=Actn2 PE=1 SV=2 - [ACTN2_MOUSE],23.15%,4,5,29,835,894,103.8,5.45
O88990,Alpha-actinin-3 OS=Mus musculus GN=Actn3 PE=2 SV=1 - [ACTN3_MOUSE],18.11%,1,1,22,547,900,103,5.45
P57780,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1 - [ACTN4_MOUSE],90.35%,2,51,136,6928,912,104.9,5.41
Q8R5C5,Beta-centractin OS=Mus musculus GN=Actr1b PE=1 SV=1 - [ACTY_MOUSE],76.60%,3,16,30,305,376,42.3,6.4
Q99JW2,Aminoacylase-1 OS=Mus musculus GN=Acy1 PE=1 SV=1 - [ACY1_MOUSE],45.59%,3,16,16,45,408,45.8,6.32
Q8R3P0,Aspartoacylase OS=Mus musculus GN=Aspa PE=1 SV=2 - [ACY2_MOUSE],48.72%,4,14,14,82,312,35.3,6.58
Q91XE4,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) OS=Mus musculus GN=Acy3 PE=1 SV=1 - [ACY3_MOUSE],31.76%,1,7,7,12,318,35.3,5.5
P56376,Acylphosphatase-1 OS=Mus musculus GN=Acyp1 PE=2 SV=2 - [ACYP1_MOUSE],71.72%,3,11,11,72,99,11.2,9.04
P56375,Acylphosphatase-2 OS=Mus musculus GN=Acyp2 PE=2 SV=2 - [ACYP2_MOUSE],62.26%,1,7,7,21,106,11.9,9.26
O35598,Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus GN=Adam10 PE=1 SV=2 - [ADA10_MOUSE],43.26%,3,30,30,421,749,83.9,7.94
Q9Z0F8,Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus GN=Adam17 PE=1 SV=3 - [ADA17_MOUSE],22.37%,3,13,13,43,827,93,5.94
Q80SY6,Adenosine deaminase-like protein OS=Mus musculus GN=Adal PE=2 SV=1 - [ADAL_MOUSE],11.67%,1,4,4,9,360,41,6.35
Q8C0I1,"Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Mus musculus GN=Agps PE=1 SV=1 - [ADAS_MOUSE]",36.90%,6,18,19,42,645,71.6,7.5
P03958,Adenosine deaminase OS=Mus musculus GN=Ada PE=1 SV=3 - [ADA_MOUSE],2.84%,1,1,1,1,352,40,5.72
Q9D0L4,Uncharacterized aarF domain-containing protein kinase 1 OS=Mus musculus GN=Adck1 PE=2 SV=1 - [ADCK1_MOUSE],10.10%,1,3,3,4,525,59.7,8.05
O88444,Adenylate cyclase type 1 OS=Mus musculus GN=Adcy1 PE=2 SV=2 - [ADCY1_MOUSE],2.15%,1,2,2,2,1118,123.3,8.47
Q91WF3,Adenylate cyclase type 4 OS=Mus musculus GN=Adcy4 PE=1 SV=1 - [ADCY4_MOUSE],1.11%,5,1,2,7,1077,120.3,7.88
P84309,Adenylate cyclase type 5 OS=Mus musculus GN=Adcy5 PE=1 SV=2 - [ADCY5_MOUSE],11.09%,3,5,12,28,1262,139,7.06
Q01341,Adenylate cyclase type 6 OS=Mus musculus GN=Adcy6 PE=1 SV=1 - [ADCY6_MOUSE],8.24%,4,2,9,21,1165,130.2,7.87
Q9QYC0,Alpha-adducin OS=Mus musculus GN=Add1 PE=1 SV=2 - [ADDA_MOUSE],41.77%,7,2,31,130,735,80.6,5.9
Q9QYB5,Gamma-adducin OS=Mus musculus GN=Add3 PE=1 SV=2 - [ADDG_MOUSE],45.47%,1,31,31,111,706,78.7,5.95
